speed,direction
2.73,113.298412
3.25,29
2.5,29
2.88,78
3.23,93.5
4.98,98
2.85,93.33
2.85,79.33
4.16,99.66
3.71,98.16
4.78,102.5
5.33,99.66
4.28,101.33
4.08,94.16
3.28,105.5
4.66,112.5
3.05,211.83
3.51,257.83
5.21,263.66
5.88,258.83
5.85,264.66
5.66,265
4.1,274.16
2.71,162.66
2.83,74.16
3.7,104.83
4.56,104
5.48,100.33
6.7,106.33
5.76,103.66
8.63,114
7.33,111.33
7.11,106.5
5.45,103.16
7.1,110.16
6.4,106.33
7.16,110.5
7.55,109.66
6.2,105.83
5.63,111.16
3.58,115.66
4.5,115.66
3.83,146.83
2.85,155.33
3.16,253.16
1.45,268.66
2.18,276.66
2.3,262.16
1.96,251.5
1.73,227.33
1.65,192.5
1.98,121.5
0.66,143
0.51,143
3.78,123.16
6.58,108.66
6.31,99.83
4.4,85.16
4.2,82.16
7.06,99.5
8.98,108.66
7.63,109
8.68,114.66
8.65,114.66
7.33,122.66
6.81,132.5
7.46,127.83
5.33,129.83
2.98,201.16
3.21,265.83
2.53,251
2.06,190.5
3.41,141.16
6.56,110.66
6.8,108.33
7.28,104.16
5.56,101.83
7.11,93
4.95,65.5
9.35,98.33
7.71,80
5.6,76.33
3.83,79.33
5.73,89.33
15.230983,101.66
16.66,115.33
16.66,113.16
15.23,111.33
14.46,115.83
13.45,116.5
13.21,116.66
11.08,118.33
11.76,115.16
10.53,114
10.85,110.5
14.56,108.66
18.01,114
19.96,114.83
21.25,114
21.53,115.5
21.63,117.83
21.86,118
20.26,117.5
18.93,115.33
18.55,111.16
18.91,114
20.05,115.33
19.41,117.16
18.96,114
19.21,112.66
20.1,114
17.61,113.16
15.5,112.66
13.73,111.83
12.03,115.83
11.01,117.33
9.9,116.5
10.46,118.33
11.21,112
10.35,110.16
11.73,108.83
12.66,109.5
13.06,111.83
13.41,112.83
12.33,111
11.51,113.33
11.91,114.83
11.96,112.83
10.38,110.83
11.53,111
12.1,111.16
11.78,112.66
13.26,114.16
12.93,115
11.5,116
10.88,118.16
8.71,115.66
8.11,118.33
5.61,127.83
3.38,207.66
3.4,246.66
3.68,249
2.21,254.66
2.11,278
2.83,122.253569
5.26,104.33
6,104.33
7.65,111.83
8.5,114
6.76,109.16
7.33,111.83
6.5,110
6.5,110.16
7.3,111.33
8.25,111.5
8.16,113
9.06,110.83
8.98,109.5
9.21,112.16
10.06,115.66
8.58,121.16
5.93,146.66
3.2,236
3.61,263.66
3.58,259.66
2.73,212.66
2.5,207.33
2.8,237
2.5,239.83
2.2,264.16
1.68,180.16
2.38,144.16
2.61,155.83
2.4,106.5
4.11,118
3.18,142.33
3.21,132.5
3.36,107.5
2.33,144.83
1.93,164.16
3.95,141.83
4.65,129.16
5.55,134.5
6.26,138.83
4.31,172.5
3.91,240.33
4.2,264.66
4.83,264.5
3.36,255.33
4.38,281.66
3.65,344.83
2.23,280.83
2.93,302
4.16,282
2.56,306.66
1.9,261.33
1.51,256
2.7,270.5
2.65,315.16
3.38,310.33
4.21,280
3.73,302.16
4.18,296
3.7,343.16
3.51,330.83
4.8,331.5
3.4,302.5
4.78,288.33
4.2,272.83
4.56,271.16
3.78,269
2.6,297
2.55,290
3.55,267.16
3.28,263.5
4.2,305
4.96,314.16
5.46,334
6.85,125.816316
5.3,178.89211
2.61,178.89211
2.7,178.89211
3.55,178.89211
2.56,178.89211
4.11,113.298412
4.45,13.16
3.95,13.16
2.88,24.5
2.76,100.83
3.18,113.5
4.5,117.5
2.95,190.66
3.23,257.83
4.53,258
4.78,252
4.95,261.66
3.6,262
2.98,266.5
3.21,293.5
2.63,297
2.35,122.253569
1.45,93.5
2.36,93.5
4.03,95.16
4.85,96.83
6.35,104.16
5.23,100.33
4.93,98.16
3.88,88.33
3.91,84.66
4.2,93.5
7.7,103.83
8.36,105.5
8.85,106.33
9.26,109.16
8.93,121.83
9.46,123.66
9.48,124.66
8.26,126.83
6.5,135.66
2.86,225.66
2.16,161.5
4.88,133.16
6.16,116
5.8,110.5
4.61,102.5
3.03,80.16
7.25,111.16
8.56,110.66
6.83,97.16
3.85,98.16
5.96,109.66
9.18,114.33
7.65,105.5
7.81,102.5
9.55,103.16
11.35,106.66
13.18,112.5
14.86,114.5
12.15,110.5
12.31,122
12.53,123.5
12.4,125.83
8.73,130.33
9.28,121.83
8.65,111.16
6.63,115.66
5.2,106.83
5.75,97
5.41,96.66
2.11,144.16
3.16,80.5
6.58,90.16
8.9,86.66
6.88,85.83
4.8,88.83
8.8,92.66
10.38,98.83
11.03,87.5
11.8,96.83
16.83,107.83
16.48,110
15.26,107.33
11.78,110.5
12.61,118.83
13.25,121
13.31,117.33
9.33,122.83
7.68,127.5
6.11,128.33
4.58,134.66
4.21,133.5
4.16,121.5
5.35,115
6.53,113.33
8,117.83
6.88,113.16
5.53,109.33
7.38,103.16
7.91,107.83
6.33,92.83
3.4,64.83
7.13,109.16
9.06,108.16
8.6,107
8.73,105
10.08,101
11.05,113.16
13.11,118
16.08,117
14.51,122.66
13.9,127.16
13.53,123.5
9.53,131.5
10.23,119.83
9.16,111.16
13.46,103.33
8.31,93.16
10.070135,81
12.16,105.33
12.16,91
16.7,100.5
17.9,105.83
20.16,110.16
20.93,111.16
19.61,112
21.23,111
20.23,109.83
20.3,109
20.06,109.83
21.18,112
18.88,113.33
18.55,112.5
17.06,115.83
13.91,117.16
14.7,121.16
12.83,113.5
11.83,121.66
10.96,116.83
10.01,116.5
11.66,111.83
11.13,112
10.03,101
12.03,108.83
14.96,107
11.06,98
10.65,103
13.45,114
13.61,108.5
17.41,112.66
18.23,115
17.15,111.5
17.11,112.83
19.25,118
18.46,117.16
18.33,113.16
16.9,111.66
16,118.66
13.18,124.66
9.95,133
7.25,139.16
6.05,134.5
5.06,136.33
4.13,134.5
1.91,108.5
2.06,88.33
6.61,107
4.85,86.83
4.4,90.5
5.3,108.5
5.8,104
3.45,103.66
1.95,131
3.28,107.16
4.31,91.66
6.25,100.83
8.6,108.16
9.08,108.33
10.9,112.33
11.43,120.33
11.65,124.33
10.7,130.16
6.9,148.83
3.36,236.66
3.03,226.66
2.36,274
1.86,238
4.75,163.5
7,133.66
6.28,119
6.65,114.16
4.68,99.83
5.55,105.16
5.43,79.16
7.9,103.33
4.3,111.83
1.8,118.33
3.66,99.16
6.06,109.5
4.4,90.83
5.05,101
7.98,101.16
8.36,111.33
10.1,113.16
9.58,111.33
9.23,114.33
8.91,119.16
6.16,148.66
2.38,253.66
2.2,233.66
2.88,255.5
2.86,253.83
3.31,154.33
6.31,113.16
3.43,88.83
4.85,94.5
4.21,113.83
2.55,121.83
2.05,136.33
4.31,105.33
8.08,109.5
9.31,108.16
9.43,110
11.31,113
12.18,111.16
11.25,110.33
10.78,108.33
11.53,113
13.01,116.5
11.63,121
10.48,125.83
9.48,131.66
8.93,139.83
10.23,134.33
6.88,141.33
2.65,142.83
4.83,109.83
2.76,81.5
5.9,108.16
6.68,108.33
7.46,108.83
7.73,108.16
6.28,112.83
5.13,79.5
2.55,87.16
3.45,93.5
6.41,98.5
7.83,100.5
5.96,103
5.53,98.33
6.93,110
7.41,118.33
8.45,126.66
8.26,132.33
5.21,173.83
3.5,169.83
2.2,180.33
2.26,280.5
1.16,215.83
1.53,191
1.66,87
3.35,119.16
3.76,99.83
1.55,173
1.56,232.066616
2.36,229.66
1.45,229.66
3.03,296.16
1.86,122.253569
2.81,119.5
6.16,119.5
7.4,120.66
7.66,117.5
5.45,104.16
4.65,92.83
4.1,117.83
2.75,172.33
2.68,249.66
2.68,289.83
3.63,183.33
3.21,275
2.75,285.33
3.88,223.16
2.45,265.33
2.06,122.253569
3.45,123.33
3.46,123.33
3.78,95.66
2.28,110.5
1.38,192.66
2.6,122.253569
2.28,99
4.1,99
8.05,100.66
10.03,106.5
10.36,108.83
9.6,109
10.48,107.83
12.05,110.66
10.08,109
9.93,121
9.11,132
6.8,122.83
4.83,138.5
4.45,142.5
2.45,157.5
1.96,246
1.3,215.66
1.21,128.66
3.4,127.66
3.6,119.83
2.15,103.66
3.95,115.16
6.78,104.83
2.3,90.5
5.13,104
8.38,110
11.25,108.83
11.31,113.66
9.08,110.5
11.66,112.33
10.63,123.16
10.35,115.83
10.1,121.66
10.16,122
11.35,121.66
9.6,127.33
6.46,143.83
4.3,171
6.33,138.66
3.06,175.16
1.71,191.83
2.71,127.83
3.68,125.66
5.61,104.66
8.4,107
6.41,101.83
5.68,102.5
7.93,109
6.95,99
4.05,88.16
3.33,48.16
10.070135,83.83
11.03,108
11.03,101.83
8.51,100
9.43,111.33
9.43,115.5
10.85,116.5
10.36,114.33
9.65,121.16
9.06,125.16
7.11,137.5
3.38,174
3.8,152.33
2.18,109.66
2.41,126.83
2.63,111.5
2.75,90.83
7.26,100.5
9.08,106.5
9.51,98.33
5.18,79.33
4.86,100
3.71,178.89211
1.01,178.89211
3.11,122.253569
1.46,133.16
2.76,133.16
4.58,101.5
6.33,101.16
7.65,112.83
9.68,110.16
10.51,106.5
9.73,107
9.26,106.83
7.96,107.16
6.73,116.5
6.83,108.83
4.11,90.66
3.38,85.33
2.63,92.66
5.93,91.33
8.31,97.5
8.45,95
12.71,103
15.76,100.66
16.25,101.33
12.08,95.5
7.28,70
4.53,55.16
3.45,48.5
13.818784,91.33
13.818784,87
10.070135,97.66
12.41,106
12.41,109.83
13.95,112
12.4,117.16
11,121.33
13.38,110.83
10.8,118.16
8.91,123.33
8.98,110
7.95,105.33
7.23,112.66
5.83,102
6.65,100.16
8.9,107.5
8.68,105.83
8.93,102.16
10.48,105.33
9.76,114.83
10.43,105.66
10.48,106
10.38,104
8.91,100.66
11.61,106.83
13.86,104.83
13.23,111.16
14.93,109.16
11.91,108.83
14.48,113.83
11.4,115.33
10.41,123.66
11.78,108
8.65,114.5
9.78,110.83
10.01,107
5.28,106.16
8.48,106.66
9,105.33
8.68,99.66
10.46,97
7.3,87.33
8.65,84.5
3.9,139.66
4.76,75.33
2.75,46.83
2.78,54.33
6.13,67
4.36,69.5
9.25,99.16
11.11,102.83
12.73,111.66
9.38,129.33
11.38,123.16
11.95,125.83
10.18,119.5
10.53,107.66
12.1,101.33
10.18,103.5
11.48,105.5
9.56,92.83
7.11,81.66
7.6,79
10.070135,135.33
11.45,93.66
11.45,100.83
10.45,100.16
10.78,99.16
9.91,100.83
7.83,92.66
6.55,101.16
6.4,105
6.45,106.83
8.58,113.66
9.36,105.66
10.98,110.5
11.61,114.33
10.45,108
11.5,111.66
10.41,113.5
6.71,115
8.53,113.66
7.9,103
7.4,108.66
7.88,107.16
8.85,103.16
10.75,108.83
9.85,104.5
6.91,95.33
5.15,102
6.2,96.33
9.11,96.5
10.18,96.33
11.21,102.5
14,105.5
13.5,104.16
14.16,100.66
15.15,107
14.16,105.83
13.16,105.83
14,112
13.13,118.83
10.61,129.66
9.58,124.66
8.18,125
8.46,124
8.6,118.33
9.38,114.33
10.61,110.83
10.7,109
12.85,107.33
11.16,105.66
12.08,105.66
10.1,100
6.85,73.83
1.88,143.83
1.96,210.83
1.28,160.83
2,189.83
4.05,89.16
6.73,71.83
10.070135,99.83
9.36,103.66
9.36,111.66
7.06,126.16
7.1,117
8.2,110.16
10.43,109.83
9.53,107.16
9.03,106.83
7.18,105.83
7.6,94.33
9.86,101.33
9.73,99.33
9.98,97
12.9,101.66
10.2,107.33
3.995097,166.734476
2.81,172.840726
2.81,124.815387
4.41,110.5
8.48,110.5
9.73,103.66
8.95,102.16
9.41,102.83
9.88,107.16
10.4,112.5
9.78,110.16
8.85,117
8.13,125.5
5.01,184
4.36,238
4.1,207.33
4.28,119.66
2.15,166
2.66,170.83
2.86,147.5
2.46,137.5
2.03,114.66
2.13,122.33
2.3,137.83
1.55,64.33
2.78,117.33
1.7,205.66
2.48,112.16
1.7,123.16
1.43,82.16
1.25,34.66
1.71,94.83
1.96,232.066616
2.53,271.83
1.73,271.83
2.31,281.5
5.86,274.5
6.48,286.5
5.86,285.83
4.76,279.33
4.91,271.16
4.71,281.5
4.41,284.33
3.9,277.66
4.86,304.5
4.26,301.33
3.55,296.66
3.81,293.5
4.75,307.33
4.25,316.5
6.58,327.16
7.08,324.33
5.61,325.33
5.05,333
5.41,289.16
4.5,296.16
3.06,290.16
2.96,261.66
3.31,267
4.11,290.33
3.26,232.066616
3.03,269.83
4.18,269.83
4.18,270.83
4.41,265.16
6.03,270
5.53,281.5
4.78,315.83
4.38,317.16
4.51,278.33
5.11,279.16
3.21,271.66
3.68,274.83
5.01,266.16
7.68,275
5.56,287
6.13,275
6.56,265.33
6.93,283
6.23,295.5
5.61,278.66
4.65,266.66
4.21,260.66
4.76,252.16
5.45,258.66
5.46,265.33
6.81,259.83
5.16,262.83
4.06,265.83
2.81,292.33
3.83,314.33
3.15,288.5
3.28,320.5
4.2,301.66
4.15,310
3.31,320
4.66,328.33
4.05,291
2.06,122.253569
2.03,125
2.18,125
3.68,115.16
4.48,113.5
5.23,110.66
5.33,106.83
3.83,147.66
1.96,210
3.4,240.66
3.8,256.66
3.58,257
3.06,262.16
2.76,265.83
2.63,266.33
1.61,260.83
0.91,122.253569
1.45,110
2.66,110
2.46,100.83
3.01,97
3.93,88.16
2.21,103.33
1.4,132.33
1.85,109.33
2.78,103.83
2.96,91.33
2.93,81
5.7,97.33
3.75,81.83
4.75,102.5
6.1,110.16
4.98,107
3.1,134.33
5.55,113.33
3.31,157.66
2.71,247.33
2.53,274.66
2.21,122.253569
3.78,88.5
3.56,88.5
3.48,84.33
6,99.66
7.43,93.66
8.18,97
6.06,102.83
7.3,109.33
4.73,97.5
3.65,106.33
5.3,104.5
4.75,97.16
5.93,94.33
5.66,97.16
8.15,94.83
9.26,109.5
8.95,109.5
11.45,111.5
10.73,117.16
7.86,132.83
7.15,140
3.9,155.16
2.83,129
2.41,237.66
1.83,184
2.85,104.16
4.95,98.33
6.45,97.33
7,95.5
5.93,83.33
5.73,99
4.55,85.66
5.86,92
8.95,101.66
6.21,90
6.15,91.33
9.51,93.33
10.61,94
9.45,89.66
8.46,98.5
9.71,109
8.85,114.33
7.53,124.83
5.61,142.16
3.11,230.16
3.4,269.5
2.01,249.5
3.31,122.253569
3.3,113.66
3.48,113.66
4.91,113.16
4,129
4.68,124.83
4.2,118.5
4.51,126.16
4.21,133.16
4.08,118
3.65,117.16
5.75,110
3.16,119
3.43,103.16
3.6,104.5
4.03,108.33
6.3,120
6.15,112.16
4.5,151.33
3.66,228.5
4.4,283.16
5.45,342
4.01,309.66
3.33,270
4,122.253569
2.28,132.83
2.51,132.83
1.5,87.5
1.38,107.33
3.53,169.66
4.81,282.591513
3.81,302.33
5.28,302.33
6.05,310.66
4.11,322
5.3,321.66
4.53,309.33
4.46,311.16
5.3,304
5.61,303.16
5.65,311.66
4.65,324.33
4.75,315.33
5.7,311.5
5.75,306.5
6,290.33
4.96,294.5
4.48,303.33
4.43,299.16
4.81,288.33
5.6,314
6.78,326.83
7.13,333
7.5,334.83
6.21,286.83
5.91,336.83
5.43,330.66
5.9,304.83
6.45,307.5
5.6,312.66
6.15,316.16
5.31,316.16
4.51,319
4.5,304.66
2.73,312
2.15,280.66
2.53,255.5
3.33,251.33
4.63,248
3.63,257.66
2.93,270.16
2.45,235.5
2.03,260.33
1.95,275.66
3.45,256.33
3.06,275.5
2.45,283.66
2.61,271.66
3.36,295.5
4.4,297.33
4.83,286.5
4.48,298.33
5.26,315.83
3.65,328.66
1.76,295
1.25,310.16
0.38,122.253569
2.73,115.83
4.61,115.83
5.93,112.83
6.76,117.66
4.51,206.33
3.43,242.83
3.8,251.33
4.78,259.5
1.9,249.16
1.78,253.5
2.7,223.83
2.06,167.83
2.18,226.16
2.46,301.66
1.91,277.83
1.15,239.5
2.63,332
1.68,171.527549
2.71,165.33
1.81,165.33
3.95,97.5
2.85,86.33
2.35,22.5
3.61,80.33
5.83,96.66
6.7,95.66
6.28,103.83
8.48,122.16
6.81,126.83
5.86,158.5
2.33,226.33
2.58,245.16
2.73,229.5
1.91,181.16
1.58,204.5
2.26,181.33
6.61,108.83
8.11,103
9,100.16
10.15,100.5
5.88,86.83
1.56,189
1.41,83
3.13,80.5
5.6,95.66
7.16,95.16
7.63,97.66
9.85,101.33
10.26,100.5
7.6,97.33
6.65,99.16
6.9,104.66
6.83,105.33
5.96,108.5
5.48,107.33
3.6,137.33
4.23,119.83
6.03,95
5.81,124
4.16,139.5
4.33,93.16
9.41,103.83
8.05,102.33
2.96,57.83
2.91,64.66
7.65,101.16
9.03,100.5
9.7,101.83
7.7,104.33
8.85,100
7.68,91.83
7.68,91.83
8.1,90.33
8.86,95.66
8.91,109.16
9.28,113
9.85,118.16
7.93,121.66
5.2,141.33
2.41,171.527549
2.13,156.16
1.71,156.16
1.53,252.83
1.95,150.66
1.31,135
1.16,122.253569
2.88,101.5
3.06,101.5
1.55,103.33
2.18,91
2.23,89.83
1.31,150.66
1.03,106
1.58,113.298412
3.11,58.66
2.06,58.66
2.56,112.66
2.38,96.66
5.11,110.5
5.2,115.66
5.31,130.5
3.25,149.5
2.83,256.5
5.23,259.16
4.35,262
2.38,235
2.5,128.33
2.98,176.66
3.73,126.5
1.7,66.5
1.16,98.83
1.41,282.591513
2.43,300.83
2.7,300.83
2.01,276.33
1.86,279.5
2.41,270.5
1.95,122.253569
2.08,95.16
4.76,95.16
3.56,76.16
1.48,112
1.71,201.33
2.4,190.5
3.21,242.5
4.01,247.16
3.38,271.33
3.41,292.83
3.36,296.16
1.93,275
1.23,215.83
1.05,162.16
3.13,112.33
7.45,101.66
5.16,95.5
4.26,92
6.13,104.5
5.96,103.33
5.36,92.66
4.31,90.83
2.65,68.83
7.48,94.5
9.51,92.66
11.7,96.83
8.01,98
8.95,102.16
9.41,110.66
9.95,110.33
10.53,114.16
10.56,121
9.65,133.83
8.03,133.66
8.01,120.66
8.98,117.66
